50 1000
1 2 26
1 3 5
1 4 36
3 5 15
5 6 3
6 7 38
2 8 18
6 9 26
4 10 25
10 11 18
2 12 30
7 13 48
11 14 42
6 15 11
8 16 46
8 17 30
8 18 35
5 19 37
17 20 29
15 21 34
16 22 6
8 23 9
2 24 18
15 25 2
19 26 15
23 27 11
5 28 24
13 29 46
25 30 44
28 31 39
1 32 26
20 33 42
6 34 13
9 35 30
24 36 35
6 37 22
2 38 14
23 39 20
15 40 32
24 41 15
27 42 4
24 43 46
30 44 44
5 45 0
5 46 34
5 47 38
1 48 45
12 49 41
24 50 6
50 39 28
49 20 38
10 10 16
19 33 44
7 38 38
46 34 24
18 5 37
44 25 5
18 38 8
14 11 16
2 18 47
13 5 27
7 48 8
16 38 7
5 37 25
22 4 40
22 1 31
3 46 50
21 2 38
13 43 38
35 42 27
13 11 40
22 5 7
50 33 44
7 46 49
34 21 14
10 35 34
47 34 16
38 48 4
20 41 3
33 15 29
14 34 48
9 20 25
21 48 2
11 1 37
39 20 20
19 6 43
46 12 2
9 4 26
24 41 39
16 24 47
8 17 32
25 9 43
39 16 19
26 12 19
41 17 9
21 28 33
1 41 36
32 27 33
8 36 50
36 24 32
12 13 24
21 46 13
22 46 14
49 49 44
40 28 22
37 26 31
10 26 6
44 47 8
45 39 14
50 4 24
33 28 32
10 5 23
12 11 20
21 8 27
33 2 12
25 7 47
47 33 25
13 44 31
23 46 28
38 4 18
40 39 9
18 5 6
22 26 16
25 6 11
31 36 6
3 48 41
23 15 3
2 34 9
4 43 32
41 17 15
39 13 25
30 46 15
19 36 15
35 46 50
9 26 13
3 21 23
19 40 41
42 22 22
40 37 30
1 42 38
32 49 30
11 47 28
10 33 24
7 22 10
50 12 41
35 3 48
5 41 36
16 13 45
11 26 1
41 21 36
49 2 11
17 46 1
31 4 10
46 13 49
8 39 24
34 19 38
21 47 18
19 50 13
32 10 8
21 40 33
23 50 30
21 2 3
6 39 28
14 20 50
40 24 48
12 49 4
46 47 1
19 20 9
8 36 7
21 32 11
27 41 34
27 28 7
34 9 0
48 43 28
36 30 36
33 8 38
20 39 13
28 28 26
47 12 39
41 10 7
31 15 3
2 39 32
38 42 48
20 7 44
2 20 38
5 12 34
25 25 25
13 9 29
33 35 49
50 20 19
19 22 46
19 35 42
18 48 34
11 4 3
22 16 8
22 39 47
10 20 21
49 45 35
7 15 0
23 21 28
15 49 27
34 14 38
38 44 13
42 35 24
34 10 1
40 36 2
26 49 8
4 48 9
23 15 40
13 22 31
49 20 2
46 22 30
17 2 27
26 18 35
32 12 13
25 21 25
13 20 11
31 8 6
28 30 13
40 39 16
23 49 31
7 43 4
47 27 49
2 25 33
40 39 49
47 26 22
19 4 34
31 30 39
42 50 49
45 46 40
1 6 41
13 13 15
3 28 9
42 43 45
20 45 33
40 12 16
47 29 45
46 14 18
8 12 13
41 4 43
21 39 27
17 1 37
12 31 8
1 31 32
10 2 29
46 15 27
32 40 40
4 38 11
11 34 25
27 20 36
1 7 24
7 45 27
33 25 33
16 28 36
38 25 2
27 37 16
6 30 30
12 48 23
37 36 19
21 25 7
24 19 6
48 29 34
46 42 9
31 42 40
18 38 12
6 49 5
6 19 25
21 14 11
45 3 34
9 26 12
16 34 5
24 3 37
3 34 30
17 27 46
33 30 1
50 35 31
8 31 30
39 12 8
42 39 18
1 47 28
13 29 1
43 30 50
22 17 37
40 32 13
47 24 12
19 31 19
46 8 4
46 19 8
20 1 33
43 10 24
45 4 47
32 6 4
43 18 35
33 32 50
20 47 49
9 6 8
47 10 45
2 12 48
19 29 43
9 25 8
17 41 32
35 18 9
19 14 19
41 14 30
42 13 5
23 4 13
2 15 25
29 2 42
26 38 14
3 35 17
18 29 20
50 23 35
6 49 13
12 44 24
31 9 29
11 21 49
45 29 19
40 20 25
30 43 5
33 40 40
9 21 41
5 15 44
5 40 41
28 46 7
11 34 37
49 18 36
14 6 36
34 6 36
43 37 18
35 17 27
36 28 9
38 10 31
24 31 44
33 30 30
41 50 23
2 49 17
12 45 35
6 31 25
7 34 16
12 22 26
15 32 2
45 21 36
33 40 0
43 27 2
42 23 8
35 49 44
29 40 20
31 24 2
15 1 10
33 7 19
20 32 39
34 33 23
30 21 34
13 29 8
9 48 25
48 34 14
39 8 4
35 19 7
32 25 0
34 47 48
46 1 43
31 19 3
46 12 16
12 42 48
44 8 35
5 28 6
24 7 43
43 37 4
28 11 27
8 23 44
43 14 6
1 5 45
34 11 6
9 4 38
36 39 45
13 37 13
17 46 35
41 26 19
46 46 48
50 22 46
47 37 36
7 29 6
30 41 22
39 6 8
49 2 48
33 10 19
10 26 41
34 46 22
42 24 16
36 3 45
2 38 10
48 2 5
19 25 4
29 11 16
2 50 25
14 39 2
12 10 10
27 25 42
48 11 9
22 47 35
3 44 17
35 1 13
20 8 21
1 41 29
37 37 1
4 12 11
7 24 21
16 23 31
24 44 44
13 37 42
6 46 22
27 12 43
17 30 31
29 42 32
27 38 2
28 20 28
33 41 41
28 11 10
7 8 49
23 31 50
6 35 40
9 21 21
33 31 37
19 47 5
23 38 42
33 1 31
50 2 18
44 2 35
13 7 14
16 44 1
42 12 12
23 29 8
41 22 12
22 32 30
24 3 30
42 50 36
6 1 46
38 34 39
32 28 29
1 5 9
48 10 9
44 32 6
26 4 21
12 50 9
19 23 20
4 38 10
19 19 9
3 4 3
37 3 49
42 15 17
24 8 1
8 36 13
2 7 8
45 3 24
15 36 31
13 32 28
42 13 18
30 37 20
48 49 19
33 1 33
3 48 26
27 5 20
47 30 22
2 7 13
46 22 23
26 13 20
20 48 49
14 13 17
5 48 43
50 19 15
33 24 2
21 39 7
22 48 33
13 46 35
37 42 19
44 24 31
3 10 18
18 10 46
9 18 6
43 22 39
31 15 6
4 33 4
33 44 28
21 32 2
23 28 14
16 18 11
7 37 31
22 21 15
32 43 23
7 37 9
16 1 50
32 29 33
22 50 17
42 4 47
45 31 18
41 23 20
10 9 38
15 37 37
2 49 12
27 3 24
34 34 5
13 49 6
34 28 29
38 19 22
34 3 17
50 5 6
49 18 32
37 27 18
40 28 50
20 44 8
13 11 37
46 12 22
44 38 0
8 19 42
32 38 19
4 41 3
11 7 16
11 40 27
25 46 30
46 18 43
47 47 46
47 39 29
49 5 49
31 13 17
3 27 20
13 49 50
18 2 9
27 24 38
28 24 42
21 3 14
39 16 24
1 26 5
17 15 35
48 28 42
43 29 32
22 43 36
27 29 39
10 49 1
30 20 47
29 22 2
33 3 5
29 37 36
7 31 26
7 12 4
39 50 45
13 21 27
49 10 15
19 21 2
33 15 9
17 25 12
19 32 25
7 47 23
29 50 0
37 12 35
42 49 1
34 49 43
8 29 30
39 28 10
4 37 14
6 6 33
46 28 49
15 44 15
1 4 8
30 11 6
41 14 47
6 26 41
48 7 12
16 23 15
10 29 3
38 10 5
13 4 20
32 24 39
7 25 38
8 47 32
30 17 9
25 46 20
30 24 25
10 21 11
5 49 49
42 4 30
20 12 30
37 2 45
6 3 0
36 49 2
42 21 7
6 6 42
16 48 36
12 6 11
39 1 8
36 18 29
40 39 30
14 7 33
50 26 21
11 34 30
44 23 31
14 21 21
5 5 45
27 39 44
43 35 6
4 31 11
47 26 38
7 15 32
24 6 4
33 50 5
40 45 12
8 44 16
30 35 24
36 12 40
21 34 6
22 3 26
49 17 48
34 34 43
46 44 49
4 21 21
30 40 19
18 5 39
20 50 30
24 45 13
50 36 1
28 37 26
18 7 1
1 32 47
22 17 40
45 14 50
45 11 48
24 43 4
11 23 32
27 6 40
18 5 46
24 23 29
22 3 6
41 6 12
24 19 49
40 40 24
33 48 44
4 8 26
48 36 34
39 45 25
19 4 21
42 22 18
35 38 4
8 22 30
27 20 10
12 17 43
15 6 28
21 30 28
30 19 28
17 46 24
13 50 13
50 31 21
5 26 39
40 46 36
20 40 46
29 40 19
42 37 6
15 18 32
20 21 46
19 19 37
16 30 18
36 35 28
32 35 28
33 34 17
17 1 12
11 41 40
28 13 42
24 49 4
22 29 4
16 38 24
14 50 21
32 24 12
18 22 26
9 46 21
29 7 7
20 6 12
11 36 27
24 38 29
24 44 41
21 2 20
40 1 3
16 24 35
43 43 0
18 15 12
4 16 12
27 13 10
37 10 41
17 6 46
37 25 24
17 31 13
1 11 5
39 5 6
7 42 14
43 32 20
1 30 38
38 50 45
13 35 5
3 29 26
48 40 48
50 40 24
2 35 19
42 35 19
11 3 29
15 2 47
47 39 28
37 20 50
34 46 9
47 11 16
3 19 10
17 42 1
16 15 24
35 43 43
4 26 31
11 12 8
38 27 10
4 39 17
46 35 29
39 33 45
4 13 24
42 41 41
3 9 21
30 49 36
4 1 42
17 6 19
3 15 44
32 40 28
32 7 4
50 33 41
49 39 23
47 20 14
29 17 26
1 37 10
12 45 19
12 14 5
43 14 2
31 15 13
32 33 44
41 37 38
28 9 50
42 7 36
30 10 16
3 36 29
28 29 5
10 49 6
47 5 27
